applicant_id,score
"1","3.67"
"2","8.98"
"3","0.05"
"4","6.53"
"5","0.69"
"6","6.36"
"7","4.3"
"8","6.73"
"9","3.59"
"10","5.1"
"11","1.94"
"12","2.45"
"13","1.31"
"14","3.03"
"15","8.05"
"16","7.84"
"17","5.46"
"18","6.35"
"19","6.95"
"20","1.84"
"21","1.44"
"22","7.18"
"23","1.19"
"24","9.85"
"25","6.75"
"26","3.29"
"27","9.63"
"28","2.71"
"29","4.83"
"30","1.17"
"31","2.67"
"32","0.39"
"33","4.05"
"34","1.31"
"35","3.42"
"36","8.84"
"37","6.67"
"38","0.16"
"39","0.29"
"40","2.64"
"41","5.61"
"42","7.82"
"43","1.06"
"44","7.97"
"45","7.74"
"46","1.58"
"47","8.39"
"48","6.56"
"49","5.26"
"50","6.49"
"51","2.38"
"52","3.83"
"53","2.38"
"54","3.95"
"55","2.62"
"56","8.46"
"57","1.61"
"58","6.31"
"59","8.27"
"60","3.07"
"61","8.86"
"62","6.26"
"63","2.82"
"64","8.68"
"65","9.57"
"66","1.19"
"67","7.67"
"68","4.34"
"69","1.9"
"70","4.23"
"71","2.86"
"72","0.2"
"73","4.12"
"74","8.32"
"75","4.38"
"76","2.07"
"77","3.0"
"78","6.91"
"79","6.28"
"80","4.39"
"81","8.78"
"82","9.49"
"83","4.25"
"84","0.8"
"85","8.25"
"86","1.89"
"87","5.19"
"88","6.92"
"89","9.54"
"90","0.56"
"91","0.04"
"92","4.05"
"93","3.1"
"94","2.68"
"95","8.41"
"96","3.2"
"97","4.9"
"98","4.13"
"99","8.74"
"100","8.37"
"101","1.64"
"102","8.83"
"103","1.25"
"104","9.4"
"105","3.69"
"106","9.91"
"107","3.87"
"108","3.85"
"109","3.87"
"110","4.17"
"111","0.83"
"112","0.13"
"113","2.38"
"114","2.07"
"115","7.78"
"116","5.04"
"117","0.48"
"118","0.05"
"119","0.07"
"120","0.31"
"121","6.08"
"122","8.14"
"123","5.45"
"124","4.15"
"125","6.84"
"126","5.15"
"127","8.47"
"128","5.55"
"129","3.78"
"130","6.63"
"131","5.59"
"132","5.03"
"133","7.85"
"134","0.58"
"135","6.59"
"136","8.48"
"137","8.53"
"138","4.82"
"139","4.22"
"140","5.32"
"141","6.67"
"142","4.79"
"143","2.66"
"144","1.72"
"145","9.26"
"146","2.72"
"147","0.01"
"148","2.61"
"149","6.76"
"150","0.59"
"151","1.7"
"152","0.22"
"153","1.61"
"154","6.17"
"155","2.8"
"156","5.09"
"157","3.08"
"158","3.25"
"159","0.18"
"160","6.57"
"161","9.55"
"162","6.57"
"163","2.3"
"164","6.87"
"165","5.12"
"166","8.93"
"167","3.32"
"168","1.99"
"169","2.46"
"170","2.19"
"171","4.18"
"172","5.95"
"173","2.23"
"174","8.12"
"175","3.49"
"176","0.35"
"177","9.49"
"178","5.15"
"179","2.44"
"180","7.91"
"181","3.53"
"182","4.65"
"183","2.59"
"184","9.75"
"185","0.26"
"186","4.81"
"187","6.8"
"188","9.1"
"189","0.38"
"190","5.23"
"191","4.32"
"192","5.37"
"193","1.27"
"194","5.15"
"195","5.52"
"196","0.34"
"197","8.55"
"198","5.1"
"199","8.76"
"200","7.7"
"201","1.81"
"202","5.11"
"203","8.55"
"204","8.08"
"205","1.38"
"206","8.81"
"207","9.59"
"208","6.77"
"209","1.95"
"210","6.75"
"211","7.33"
"212","4.91"
"213","7.0"
"214","7.37"
"215","4.89"
"216","3.87"
"217","4.34"
"218","1.09"
"219","4.88"
"220","1.32"
"221","5.16"
"222","9.42"
"223","6.16"
"224","4.34"
"225","4.58"
"226","7.02"
"227","1.94"
"228","3.73"
"229","2.07"
"230","4.52"
"231","5.36"
"232","5.36"
"233","3.36"
"234","6.04"
"235","4.61"
"236","3.26"
"237","7.62"
"238","6.56"
"239","7.89"
"240","0.62"
"241","3.74"
"242","1.1"
"243","2.64"
"244","3.14"
"245","6.37"
"246","1.61"
"247","3.0"
"248","9.33"
"249","9.77"
"250","9.78"
"251","9.81"
"252","7.81"
"253","1.75"
"254","1.36"
"255","8.43"
"256","7.16"
"257","5.37"
"258","1.74"
"259","3.18"
"260","9.24"
"261","1.52"
"262","1.3"
"263","7.66"
"264","1.99"
"265","1.64"
"266","5.31"
"267","6.5"
"268","1.44"
"269","5.87"
"270","6.68"
"271","7.23"
"272","8.02"
"273","8.51"
"274","3.29"
"275","2.47"
"276","3.89"
"277","4.29"
"278","9.59"
"279","4.14"
"280","2.04"
"281","4.88"
"282","8.92"
"283","6.56"
"284","2.77"
"285","6.38"
"286","1.88"
"287","6.45"
"288","5.21"
"289","0.98"
"290","1.38"
"291","1.96"
"292","6.77"
"293","4.72"
"294","7.49"
"295","6.16"
"296","8.15"
"297","0.12"
"298","8.16"
"299","1.21"
"300","9.7"
"301","6.09"
"302","7.35"
"303","5.68"
"304","8.95"
"305","0.29"
"306","5.31"
"307","5.86"
"308","2.77"
"309","7.54"
"310","7.64"
"311","2.66"
"312","3.78"
"313","4.45"
"314","8.88"
"315","6.35"
"316","0.08"
"317","0.32"
"318","2.58"
"319","7.1"
"320","5.61"
"321","2.24"
"322","9.62"
"323","1.68"
"324","5.51"
"325","9.8"
"326","0.62"
"327","7.38"
"328","0.86"
"329","3.9"
"330","3.32"
"331","2.06"
"332","0.89"
"333","8.81"
"334","7.52"
"335","2.59"
"336","7.41"
"337","3.46"
"338","4.89"
"339","2.78"
"340","4.66"
"341","1.78"
"342","1.11"
"343","9.6"
"344","0.63"
"345","0.79"
