applicant_id,score
"1","8.57"
"2","8.68"
"3","9.48"
"4","0.31"
"5","6.42"
"6","5.68"
"7","1.9"
"8","2.31"
"9","3.44"
"10","4.07"
"11","7.25"
"12","1.66"
"13","8.17"
"14","6.85"
"15","2.71"
"16","0.11"
"17","5.51"
"18","2.04"
"19","7.59"
"20","0.08"
"21","7.99"
"22","1.76"
"23","0.88"
"24","1.34"
"25","2.18"
"26","8.83"
"27","3.35"
"28","0.48"
"29","3.44"
"30","5.59"
"31","5.42"
"32","7.46"
"33","8.1"
"34","1.36"
"35","3.18"
"36","3.29"
"37","5.25"
"38","7.27"
"39","1.96"
"40","5.61"
"41","2.56"
"42","7.69"
"43","3.96"
"44","7.4"
"45","5.09"
"46","2.6"
"47","6.56"
"48","7.02"
"49","0.28"
"50","0.22"
"51","7.63"
"52","0.92"
"53","3.64"
"54","9.88"
"55","4.73"
"56","7.93"
"57","4.46"
"58","9.55"
"59","7.89"
"60","8.1"
"61","2.5"
"62","7.32"
"63","8.78"
"64","3.8"
"65","2.1"
"66","3.46"
"67","4.61"
"68","8.92"
"69","6.5"
"70","2.71"
"71","8.15"
"72","8.49"
"73","5.31"
"74","9.67"
"75","1.06"
"76","1.75"
"77","6.06"
"78","3.49"
"79","0.84"
"80","0.92"
"81","1.08"
"82","9.35"
"83","2.37"
"84","2.7"
"85","1.48"
"86","2.45"
"87","2.46"
"88","3.86"
"89","7.25"
"90","5.34"
"91","9.31"
"92","0.52"
"93","6.14"
"94","4.57"
"95","1.83"
"96","8.3"
"97","8.45"
"98","6.55"
"99","1.81"
"100","5.99"
"101","3.02"
"102","3.33"
"103","6.94"
"104","3.08"
"105","4.79"
"106","7.94"
"107","2.59"
"108","0.75"
"109","5.76"
"110","5.66"
"111","3.99"
"112","3.68"
"113","1.75"
"114","4.08"
"115","0.58"
"116","2.73"
"117","6.68"
"118","5.88"
"119","1.9"
"120","1.03"
"121","3.09"
"122","6.38"
"123","3.45"
"124","4.37"
"125","1.76"
"126","1.03"
"127","1.09"
"128","7.2"
"129","1.02"
"130","8.61"
"131","9.5"
"132","2.66"
"133","6.75"
"134","9.36"
"135","7.56"
"136","3.55"
"137","3.54"
"138","0.86"
"139","7.7"
"140","4.03"
"141","0.76"
"142","7.92"
"143","1.02"
"144","4.29"
"145","0.11"
"146","7.97"
"147","8.89"
"148","4.79"
"149","2.74"
"150","0.95"
"151","3.35"
"152","4.49"
"153","1.2"
"154","5.59"
"155","6.82"
"156","0.58"
"157","4.72"
"158","0.22"
"159","1.11"
"160","9.0"
"161","6.25"
"162","3.71"
"163","6.51"
"164","3.48"
"165","1.45"
"166","0.87"
"167","5.45"
"168","9.79"
"169","5.16"
"170","4.8"
"171","5.23"
"172","2.74"
"173","4.82"
"174","0.17"
"175","1.55"
"176","2.21"
"177","4.52"
"178","6.1"
"179","8.05"
"180","1.9"
"181","2.21"
"182","3.16"
"183","2.1"
"184","1.28"
"185","8.72"
"186","7.4"
"187","6.19"
"188","3.84"
"189","0.53"
"190","7.71"
"191","5.94"
"192","2.08"
"193","2.0"
"194","4.91"
"195","9.81"
"196","8.55"
"197","4.91"
"198","4.63"
"199","9.11"
"200","7.36"
"201","8.38"
"202","9.43"
"203","8.04"
"204","8.67"
"205","8.33"
"206","4.76"
"207","5.42"
"208","5.75"
"209","0.6"
"210","9.76"
"211","7.96"
"212","7.7"
"213","5.98"
"214","6.92"
"215","6.14"
"216","5.43"
"217","0.12"
"218","2.26"
"219","3.62"
"220","5.55"
"221","4.27"
"222","8.41"
"223","7.58"
"224","0.34"
"225","6.25"
"226","7.3"
"227","1.26"
"228","8.45"
"229","8.41"
"230","4.86"
"231","7.38"
"232","5.14"
"233","5.56"
"234","1.23"
"235","6.0"
"236","1.92"
"237","7.61"
"238","4.42"
"239","5.43"
"240","3.76"
"241","9.16"
"242","6.22"
"243","7.38"
"244","8.73"
"245","1.67"
"246","8.81"
"247","7.08"
"248","6.93"
"249","8.73"
"250","4.24"
"251","6.04"
"252","5.24"
"253","0.58"
"254","9.86"
"255","1.67"
"256","9.29"
"257","8.12"
"258","6.95"
"259","4.07"
"260","8.35"
"261","5.67"
"262","0.35"
"263","4.53"
"264","6.77"
"265","8.77"
"266","4.77"
"267","2.72"
"268","1.2"
"269","7.69"
"270","0.65"
"271","1.82"
"272","1.86"
"273","0.27"
"274","6.84"
"275","1.26"
"276","5.29"
"277","7.12"
"278","4.8"
"279","4.88"
"280","7.71"
"281","2.76"
"282","2.78"
"283","8.74"
"284","3.02"
"285","7.57"
"286","3.69"
"287","4.97"
"288","4.54"
"289","1.92"
"290","7.25"
"291","0.03"
"292","6.69"
"293","4.72"
"294","4.99"
"295","5.45"
"296","7.39"
"297","0.2"
"298","7.39"
"299","2.83"
"300","2.5"
"301","6.05"
"302","3.21"
"303","8.24"
"304","2.47"
"305","1.31"
"306","3.45"
"307","0.89"
"308","8.33"
"309","9.7"
"310","3.96"
"311","3.75"
"312","1.48"
"313","5.74"
"314","6.57"
"315","2.44"
"316","3.07"
"317","5.17"
"318","1.91"
"319","5.07"
"320","3.33"
"321","3.6"
"322","3.18"
"323","5.43"
"324","1.04"
"325","9.53"
"326","3.26"
"327","5.53"
"328","3.02"
"329","7.12"
"330","8.47"
"331","1.85"
"332","9.13"
"333","2.81"
"334","3.48"
"335","7.02"
"336","3.78"
"337","9.65"
"338","9.53"
"339","5.47"
"340","6.63"
"341","7.27"
"342","1.18"
"343","5.77"
"344","1.58"
"345","0.36"
"346","7.86"
"347","5.96"
"348","7.75"
"349","0.04"
"350","7.16"
"351","3.4"
"352","9.7"
"353","2.12"
"354","0.96"
"355","5.82"
"356","1.89"
"357","6.24"
"358","4.62"
"359","0.89"
"360","2.02"
"361","9.47"
"362","5.56"
"363","5.0"
"364","8.15"
"365","2.94"
"366","8.27"
"367","0.4"
"368","6.53"
"369","2.23"
"370","3.22"
"371","9.86"
"372","7.84"
"373","0.91"
"374","5.08"
"375","2.27"
"376","7.27"
"377","5.99"
"378","4.47"
"379","9.36"
"380","5.93"
"381","3.41"
"382","1.63"
"383","7.34"
"384","3.21"
"385","2.24"
"386","1.03"
"387","2.5"
"388","1.45"
"389","8.21"
"390","3.96"
"391","7.63"
"392","4.77"
"393","7.59"
"394","2.58"
"395","0.54"
"396","6.55"
"397","6.85"
"398","1.92"
"399","8.12"
"400","7.24"
"401","9.38"
"402","0.37"
"403","2.62"
"404","5.95"
"405","0.3"
"406","4.56"
"407","6.25"
"408","6.21"
"409","8.06"
"410","3.08"
"411","5.63"
"412","0.04"
"413","9.56"
"414","3.52"
"415","5.69"
"416","0.46"
"417","7.93"
"418","7.8"
"419","0.45"
"420","2.01"
"421","4.37"
"422","9.39"
"423","3.72"
"424","2.41"
"425","3.89"
"426","7.01"
"427","0.84"
"428","4.8"
"429","1.23"
"430","9.0"
"431","4.15"
"432","1.54"
"433","6.08"
"434","1.84"
"435","5.76"
"436","6.77"
"437","5.17"
"438","2.45"
"439","5.55"
"440","8.17"
"441","4.77"
"442","2.71"
"443","3.99"
"444","3.52"
"445","2.63"
"446","3.87"
